time,decision
1146,Information Sharing
1147,Information Sharing
1148,Information Sharing
1149,Information Sharing
1151,Collaboration
1152,Collaboration
1153,Collaboration
1154,Collaboration
1155,Collaboration
1156,Collaboration
1157,Collaboration
1158,Collaboration
1159,Collaboration
1160,Collaboration
1161,Collaboration
1162,Collaboration
1163,Collaboration
1164,Collaboration
1165,Collaboration
1166,Collaboration
1167,Collaboration
1168,Collaboration
1169,Collaboration
1170,Collaboration
1171,Collaboration
1172,Collaboration
1173,Collaboration
1174,Collaboration
1175,Collaboration
1176,Collaboration
1177,Collaboration
1178,Collaboration
1179,Collaboration
1180,Collaboration
1181,Collaboration
1182,Collaboration
1183,Collaboration
1184,Collaboration
1185,Collaboration
1186,Collaboration
1187,Collaboration
1188,Collaboration
1189,Collaboration
1190,Collaboration
1191,Collaboration
1192,Collaboration
1193,Collaboration
1194,Collaboration
1195,Collaboration
1196,Collaboration
1197,Collaboration
1198,Collaboration
1199,Collaboration
1200,Collaboration
1201,Collaboration
1202,Collaboration
1203,Collaboration
1204,Collaboration
1205,Collaboration
1206,Collaboration
1207,Collaboration
1208,Collaboration
1209,Collaboration
1210,Collaboration
1211,Collaboration
1212,Collaboration
1213,Collaboration
1214,Collaboration
1215,Collaboration
1216,No interaction
1217,No interaction
1218,No interaction
1219,No interaction
1220,No interaction
1221,No interaction
1222,No interaction
1223,No interaction
1224,No interaction
1225,No interaction
1226,No interaction
1227,No interaction
1228,No interaction
1229,No interaction
1231,Coordination
1232,Coordination
1233,Coordination
1234,Coordination
1235,Coordination
1236,Coordination
1237,Coordination
1238,Coordination
1239,Coordination
1240,Coordination
1241,Coordination
1242,Coordination
1243,Coordination
1244,Coordination
1245,Coordination
1247,No interaction
1248,No interaction
1249,No interaction
1250,No interaction
1251,No interaction
1252,No interaction
1253,No interaction
1254,No interaction
1255,No interaction
1256,No interaction
1257,No interaction
1258,No interaction
1259,No interaction
1260,No interaction
1261,No interaction
1262,No interaction
1263,No interaction
1264,No interaction
1265,No interaction
1266,No interaction
1267,No interaction
1268,No interaction
1269,No interaction
1270,No interaction
1271,No interaction
1272,No interaction
1273,No interaction
1274,No interaction
1275,No interaction
1276,No interaction
1277,No interaction
1278,No interaction
1279,No interaction
1280,No interaction
1281,No interaction
1282,No interaction
1283,No interaction
1284,No interaction
1285,No interaction
1286,No interaction
1288,Cooperation
1289,Cooperation
1290,Cooperation
1291,Cooperation
1292,Cooperation
1293,Cooperation
1294,Cooperation
